Company,IsUS,Location HQ,Industry,Number Laid Off,Date of Layoff,Source,Dollars Raised (mil),Stage,Country,Percentage,List of Employees Laid Off,Ticker,Exchange,Stock Delisted
Staffbase,FALSE,Chemnitz,Other,90,6/2/2023,https://www.businessinsider.de/gruenderszene/technologie/entlassungswelle-trifft-chemnitzer-software-unicorn-staffbase/?tpcc=offsite_gs_linkedin-facebook&fbclid=IwAR11HXLrgoy2GqefJu9xkrAtdqlHzdyBFXw1sYqgFmUJoacmBtcZSXNxmDw,307,Series E,Germany,,,,,
Zume,TRUE,SF Bay Area,Food,,6/2/2023,https://www.bloomberg.com/news/articles/2023-06-03/fallen-pizza-startup-zume-shuts-down-after-raising-millions#xj4y7vzkg,423,Unknown,United States,1,,,,
Haven Technologies,TRUE,New York City,Finance,280,6/1/2023,https://coverager.com/haven-technologies-shrinks-workforce/,,Subsidiary,United States,0.7,,,,
Mural,TRUE,SF Bay Area,Product,170,6/1/2023,Internal memo,192,Series C,United States,,,,,
Glamyo Health,FALSE,New Delhi,Healthcare,160,6/1/2023,https://inc42.com/buzz/glamyo-health-stares-at-potential-shut-down-lays-off-160-employees/,9,Series B,India,,,,,
Outbrain,TRUE,New York City,Marketing,90,6/1/2023,https://www.calcalistech.com/ctechnews/article/syxin3hl3,394,Post-IPO,United States,0.1,,OB,NASDAQ,FALSE
CloudTrucks,TRUE,SF Bay Area,Logistics,,6/1/2023,https://finance.yahoo.com/news/vc-backed-cloudtrucks-blames-tough-184252236.html,141,Series B,United States,,,,,
CoachHub,FALSE,Berlin,HR,,6/1/2023,https://www.businessinsider.de/gruenderszene/business/coachhub-berliner-startup-entlasst-zehn-prozent-der-mitarbeiter/,332,Series C,Germany,0.1,,,,
Fractal Software,TRUE,New York City,Other,,6/1/2023,https://www.businessinsider.com/fractal-layoffs-venture-studio-stop-create-startups-2023-5,,Unknown,United States,,,,,
SentinelOne,TRUE,SF Bay Area,Security,,6/1/2023,https://s28.q4cdn.com/399982429/files/doc_earnings/2024/q1/generic/Shareholder-Letter-Q1-FY24-FINAL-SentinelOne.pdf,696,Post-IPO,United States,0.05,,S,NYSE,FALSE
SmartAsset,TRUE,New York City,Finance,,6/1/2023,Internal memo,161,Series D,United States,0.19,https://docs.google.com/spreadsheets/d/1JqY3xe5JtatgGmmd8xryEw4CIa0RRmmUvCX3JDpqxAA/edit?pli=1#gid=0,,,
Zendesk,TRUE,SF Bay Area,Support,320,5/31/2023,https://www.zendesk.com/newsroom/articles/zendesk-workforce-reduction/,85,Acquired,United States,0.08,,,,
ZipRecruiter,TRUE,Los Angeles,Recruiting,270,5/31/2023,https://www.sec.gov/ix?doc=/Archives/edgar/data/1617553/000161755323000028/zip-20230531.htm,769,Post-IPO,United States,0.2,,ZIP,NYSE,FALSE
Vendr,TRUE,Boston,Other,100,5/31/2023,https://www.theinformation.com/briefings/software-cost-management-startup-vendr-lays-off-25,216,Series B,United States,0.25,,,,
McMakler,FALSE,Berlin,Real Estate,60,5/31/2023,https://www.businessinsider.de/gruenderszene/business/wieder-entlassungen-bei-immobilien-startup-mcmakler/,214,Unknown,Germany,,,,,
Mux,TRUE,SF Bay Area,Infrastructure,40,5/31/2023,Internal memo,173,Series D,United States,0.3,,,,
Away,TRUE,New York City,Retail,22,5/31/2023,https://pitchbook.com/news/articles/away-direct-to-consumer-layoffs-venture-capital,181,Series D,United States,0.08,,,,
Taxfix,FALSE,Berlin,Finance,120,5/30/2023,https://techcrunch.com/2023/05/30/taxfix-layoffs/,330,Series D,Germany,0.2,,,,
Mensa Brands,FALSE,Bengaluru,Retail,30,5/30/2023,https://inc42.com/buzz/layoffs-continue-mensa-brands-fires-employees-from-recently-acquired-india-lifestyle-network/,254,Unknown,India,,,,,
Coupa,TRUE,SF Bay Area,Finance,,5/30/2023,https://www.pymnts.com/spend-management/2023/coupa-software-cutting-jobs-as-part-of-company-reset-strategy/,219,Acquired,United States,,,,,
Nansen,FALSE,Singapore,Crypto,,5/30/2023,https://twitter.com/ASvanevik/status/1663565124970610688,88,Series B,Singapore,,,,,
PacketFabric,TRUE,Los Angeles,Infrastructure,,5/30/2023,https://www.linkedin.com/posts/packetfabric_with-the-growth-of-any-organization-comes-activity-7069360909927788544-XuBz/,109,Unknown,United States,,,,,
Evolve,TRUE,Denver,Travel,164,5/29/2023,https://skift.com/blog/evolve-lays-off-14-percent-of-its-staff/,224,Series F,United States,0.14,,,,
Project44,TRUE,Chicago,Logistics,130,5/26/2023,https://www.freightwaves.com/news/project44-cuts-workforce-warns-of-changing-freighttech-investor-sentiment,817,Unknown,United States,0.1,,,,
DHI Group,TRUE,New York City,Recruiting,53,5/26/2023,https://aimgroup.com/2023/05/26/dhi-group-to-cut-workforce-by-10/,,Post-IPO,United States,0.1,,DHX,NYSE,FALSE
BenevolentAI,FALSE,London,Healthcare,180,5/25/2023,https://endpts.com/benevolentai-lays-off-around-180-staffers-cuts-pipeline-programs-in-reorg/,292,Private Equity,United Kingdom,,,,,
Airmeet,FALSE,Bengaluru,Marketing,75,5/25/2023,https://inc42.com/buzz/exclusive-prosus-backed-airmeet-lays-off-30-of-its-workforce/,50,Series B,India,0.3,,,,
Circus Kitchens,FALSE,Hamburg,Food,35,5/25/2023,https://www.businessinsider.de/gruenderszene/food/massenentlassung-beim-lieferdienst-startup-circus-kitchens/,12,Seed,Germany,,,,,
Jellysmack,FALSE,Paris,Media,13,5/25/2023,https://www.businessinsider.com/creator-economy-startup-jellysmack-laid-off-us-france-staff-layoffs-2023-5,22,Series C,France,,,,,
Kabam,TRUE,SF Bay Area,Consumer,,5/25/2023,https://www.pocketgamer.biz/news/81603/kabam-to-lay-off-12-of-workforce/,244,Acquired,United States,0.12,,,,
Guild,TRUE,Denver,Education,172,5/24/2023,https://www.bizjournals.com/denver/news/2023/05/25/guild-layoffs.html,643,Series F,United States,0.12,,,,
WillowTree,TRUE,Charlottesville,Marketing,120,5/24/2023,https://www.nbc29.com/2023/05/24/23-charlottesville-area-employees-laid-off-willowtree/,,Acquired,United States,0.11,,,,
Flink,FALSE,Berlin,Food,100,5/24/2023,https://www.businessinsider.de/gruenderszene/food/uebernahme-durch-getir-vom-tisch-flink-findet-neues-investorengeld-bewertung-sinkt-massiv/,1000,Series B,Germany,0.16,,,,
Western Digital,FALSE,Kfar Saba,Hardware,60,5/24/2023,https://www.calcalistech.com/ctechnews/article/sk4mliohh,900,Post-IPO,Israel,0.07,,WDC,NASDAQ,FALSE
Alibaba Cloud,FALSE,Hangzhou,Data,,5/24/2023,https://www.cnbc.com/2023/05/23/alibaba-to-cut-7percent-of-workforce-in-its-cloud-unit-as-it-pursues-ipo-.html,,Subsidiary,China,0.07,,,,
Brainly,FALSE,Krakow,Education,,5/24/2023,https://www.linkedin.com/posts/brainly-com_announcement-activity-7067026338280300545-Nn9j/,148,Series D,Poland,0.3,,,,
Reliance JioMart,FALSE,Mumbai,Food,1000,5/23/2023,https://economictimes.indiatimes.com/tech/technology/reliances-wholesale-format-fires-1000-a-bigger-layoff-round-likely/articleshow/100428603.cms,,Subsidiary,India,,,,,
Qualcomm,FALSE,Haifa,Hardware,30,5/23/2023,https://www.calcalistech.com/ctechnews/article/hkfdle9s3,,Post-IPO,Israel,,,QCOM,NASDAQ,FALSE
SoundCloud,FALSE,Berlin,Consumer,,5/23/2023,https://www.billboard.com/pro/soundcloud-layoffs-job-cuts-further-investment-profit/,542,Unknown,Germany,0.08,,,,
Tractable,FALSE,London,Finance,,5/23/2023,https://www.businessinsider.com/ai-startup-tractable-lays-off-staff-despite-the-gold-rush-2023-5,119,Series D,United States,,,,,
AppFolio,TRUE,Santa Barbara,Real Estate,62,5/22/2023,https://www.pacbiztimes.com/2023/05/22/appfolio-lays-off-62-people/,30,Post-IPO,United States,,,APPF,NASDAQ,FALSE
Daylight,TRUE,Los Angeles,Finance,,5/22/2023,https://techcrunch.com/2023/05/22/daylight-the-lgbtq-neobank-calls-it-quits/,20,Series A,United States,1,,,,
FemTech Health,TRUE,Houston,Healthcare,,5/22/2023,https://www.axios.com/pro/health-tech-deals/2023/05/22/femtec-health-shuts-down,,Unknown,United States,1,,,,
Paperless Parts,TRUE,Boston,Manufacturing,,5/22/2023,https://www.bizjournals.com/boston/inno/stories/news/2023/05/22/paperless-parts-layoffs.html,30,Series B,United States,,,,,
Nuance Communications,TRUE,Boston,Healthcare,,5/20/2023,https://www.bostonglobe.com/2023/05/20/business/layoffs-hit-nuance-after-microsoft-acquisition/,,Acquired,United States,,,,,
Moss,FALSE,Berlin,Finance,30,5/19/2023,https://financefwd.com/de/moss-mitarbeiter-entlassungen-2/,150,Series B,Germany,,,,,
Pie Insurance,TRUE,Washington D.C.,Finance,63,5/18/2023,https://media.pieinsurance.com/press-releases/a-message-from-pies-ceo/,621,Series D,United States,0.14,,,,
Clearbit,TRUE,SF Bay Area,Sales,,5/18/2023,https://clearbit.com/blog/an-update-from-clearbits-returning-ceo-matt-sornson,17,Series A,United States,,,,,
dbt Labs,TRUE,Philadelphia,Data,,5/18/2023,https://www.getdbt.com/blog/dbt-labs-update-a-message-from-ceo-tristan-handy/,414,Series D,United States,0.15,,,,
L1ght,FALSE,Tel Aviv,Other,,5/18/2023,https://www.calcalistech.com/ctechnews/article/skenly7sn,15,Seed,Israel,1,,,,
Nextbite,TRUE,Denver,Food,,5/18/2023,https://www.restaurantdive.com/news/nextbite-lays-off-employees-may-shut-down/650688/,150,Series C,United States,,,,,
TuSimple,TRUE,San Diego,Transportation,,5/18/2023,https://techcrunch.com/2023/05/18/tusimple-to-lay-off-30-of-u-s-workforce-keep-china-business/,648,Post-IPO,United States,0.3,,TSPH,OTCMKTS,FALSE
Stash,TRUE,New York City,Finance,40,5/17/2023,https://www.axios.com/pro/fintech-deals/2023/05/17/stash-lays-off-10-percent-reorganization,480,Unknown,United States,0.1,,,,
Formstack,TRUE,Indianapolis,Other,,5/17/2023,https://www.linkedin.com/feed/update/urn:li:activity:7064618034325327872/,425,Private Equity,United States,0.4,,,,
Cerner,TRUE,Kansas City,Healthcare,3000,5/16/2023,https://www.businessinsider.com/oracle-halted-raises-layoffs-after-cerner-deal-2023-5,,Acquired,United States,0.11,,,,
Zepz,FALSE,London,Finance,420,5/16/2023,https://www.cnbc.com/2023/05/16/fintech-unicorn-zepz-owner-of-worldremit-lays-off-26percent-of-staff.html,700,Series E,United Kingdom,0.26,,,,
Lemonade,TRUE,New York City,Finance,45,5/16/2023,https://www.calcalistech.com/ctechnews/article/s18wcz11r2,481,Post-IPO,United States,0.03,,LMND,NYSE,FALSE
DroneUp,TRUE,Norfolk,Logistics,,5/16/2023,https://www.cnbc.com/2023/05/16/walmart-backed-drone-delivery-startup-droneup-is-cutting-jobs-.html,7,Unknown,United States,,,,,
Quanto,FALSE,Sao Paulo,Finance,,5/16/2023,https://www.linkedin.com/posts/quantofinance_carta-aberta-sobre-a-reestrutura%C3%A7%C3%A3o-das-opera%C3%A7%C3%B5es-activity-7064317169307721729-kdec/,20,Series A,Brazil,0.85,,,,
Cana,TRUE,SF Bay Area,Food,,5/13/2023,https://thespoon.tech/cana-the-startup-building-a-make-any-drink-beverage-printer-shuts-down/,30,Unknown,United States,1,,,,
Nuro,TRUE,SF Bay Area,Transportation,340,5/12/2023,https://techcrunch.com/2023/05/12/autonomous-delivery-startup-nuro-to-lay-off-30-of-workforce/,2100,Series D,United States,0.3,,,,
Telenav,FALSE,Cluj-Napoca,Transportation,172,5/12/2023,https://www.romania-insider.com/telenav-closes-cluj-office-may-2023,30,Acquired,Romania,,,,,
Happay,FALSE,Bengaluru,Finance,160,5/12/2023,https://inc42.com/buzz/exclusive-cred-owned-happay-trims-35-workforce/,21,Acquired,India,0.35,,,,
Slickdeals,TRUE,Las Vegas,Retail,79,5/12/2023,Company exec,,Unknown,United States,0.33,,,,
Toothsi,FALSE,Mumbai,Healthcare,20,5/12/2023,https://www.moneycontrol.com/news/business/startup/dental-tech-startup-toothsi-lays-off-20-30-employees-amid-funding-crunch-10574111.html,87,Series C,India,,,,,
Everlaw,TRUE,SF Bay Area,Legal,,5/12/2023,https://www.law360.com/pulse/legal-tech/articles/1607469/e-discovery-co-everlaw-conducts-10-staff-reduction,298,Series D,United States,0.1,,,,
Tessera,TRUE,New York City,Crypto,,5/12/2023,https://www.coindesk.com/web3/2023/05/12/paradigm-backed-nft-ownership-platform-tessera-is-shutting-down/,43,Series A,United States,1,,,,
Cornershop,FALSE,Santiago,Food,250,5/11/2023,https://www.bloomberg.com/news/articles/2023-05-11/uber-owned-online-grocer-cornershop-eliminates-11-of-staff#xj4y7vzkg?leadSource=uverify%20wall,31,Acquired,Chile,0.11,,,,
Varo,TRUE,SF Bay Area,Finance,97,5/11/2023,https://www.varomoney.com/press/05112023-message-from-colin/,992,Series E,United States,,,,,
CS Disco,TRUE,Austin,Legal,,5/11/2023,https://www.law360.com/pulse/legal-tech/articles/1606941/legal-tech-co-disco-cuts-staff-8-in-2nd-round-of-layoffs,233,Post-IPO,United States,0.08,,LAW,NYSE,FALSE
Microsoft,TRUE,Seattle,Other,158,5/10/2023,https://www.geekwire.com/2023/microsoft-cutting-more-jobs-in-seattle-region-beyond-global-layoffs-announced-in-january/,1,Post-IPO,United States,,,MSFT,NASDAQ,FALSE
Redbubble,FALSE,Melbourne,Retail,70,5/10/2023,https://www.afr.com/technology/redbubble-axes-75-roles-in-a-new-cost-cutting-round-20230510-p5d762,55,Post-IPO,Australia,0.23,,RBL.AX,ASX,TRUE
Similarweb,TRUE,New York City,Other,60,5/10/2023,https://www.calcalistech.com/ctechnews/article/sya4wmt4h,235,Post-IPO,United States,0.06,,SMWB,NYSE,FALSE
Stack Overflow,TRUE,New York City,Recruiting,58,5/10/2023,https://stackoverflow.blog/2023/05/10/a-message-from-prashanth-chandrasekar-ceo-stack-overflow/,153,Acquired,United States,0.1,,,,
Akamai,TRUE,Boston,Security,290,5/9/2023,https://www.bizjournals.com/boston/news/2023/05/09/akamai-cuts-global-workforce-2023.html,35,Post-IPO,United States,0.03,,AKAM,NASDAQ,FALSE
Sonatype,TRUE,Baltimore,Security,100,5/9/2023,https://www.theregister.com/2023/05/10/sonatype_job_cuts/,154,Acquired,United States,0.14,,,,
AudioCodes,FALSE,Tel Aviv,Other,80,5/9/2023,https://www.calcalistech.com/ctechnews/article/hjnggpd43,91,Post-IPO,Israel,0.06,,AUDC,NASDAQ,FALSE
Buzzer,TRUE,New York City,Media,,5/9/2023,https://sports.yahoo.com/buzzer-shut-down-app-license-130000688.html,32,Unknown,United States,,,,,
Marqeta,TRUE,SF Bay Area,Finance,,5/9/2023,https://www.fool.com/earnings/call-transcripts/2023/05/09/marqeta-mq-q1-2023-earnings-call-transcript/,530,Post-IPO,United States,0.15,,MQ,NASDAQ,FALSE
LinkedIn,TRUE,SF Bay Area,Recruiting,716,5/8/2023,https://www.reuters.com/technology/linkedin-cut-716-jobs-phase-out-china-local-jobs-app-2023-05-09/,154,Acquired,United States,0.04,,,,
Cuemath,FALSE,Bengaluru,Education,100,5/8/2023,https://entrackr.com/2023/05/cuemath-lays-off-around-100-employees/,121,Unknown,India,,,,,
Momentis Surgical,FALSE,Tel Aviv,Healthcare,70,5/8/2023,https://www.calcalistech.com/ctechnews/article/bk11kl2i43,,Series D,Israel,0.6,,,,
Glean AI,TRUE,New York City,Finance,5,5/8/2023,Company exec,11,Seed,United States,,,,,
Everledger,FALSE,Brisbane,Crypto,,5/8/2023,https://www.afr.com/technology/government-and-tencent-backed-aussie-blockchain-firm-collapses-20230503-p5d58l,27,Unknown,Australia,1,,,,
Twist Bioscience,TRUE,SF Bay Area,Healthcare,270,5/5/2023,https://www.biospace.com/article/releases/twist-bioscience-reports-fiscal-second-quarter-2023-financial-results/,503,Post-IPO,United States,0.25,,TWST,NASDAQ,FALSE
Meesho,FALSE,Bengaluru,Retail,251,5/5/2023,https://www.moneycontrol.com/news/business/meesho-to-fire-251-employees-says-it-made-judgement-errors-in-over-hiring-ahead-of-the-curve-10531531.html,1100,Series F,India,0.15,,,,
Teachmint,FALSE,Bengaluru,Education,70,5/5/2023,https://inc42.com/buzz/exclusive-teachmint-lays-off-over-70-employees-in-2nd-round-of-layoffs/,118,Series B,India,,,,,
Eventus,TRUE,Austin,Finance,,5/5/2023,https://www.thetradenews.com/eventus-cuts-staff-numbers-amid-challenging-funding-environment/,45,Series B,United States,0.33,,,,
Shopify,FALSE,Ottawa,Retail,2300,5/4/2023,https://www.cbc.ca/news/business/shopify-layoffs-1.6831842,122,Post-IPO,Canada,0.2,,SHOP,NYSE,FALSE
Sabre,TRUE,Dallas,Travel,1100,5/4/2023,https://skift.com/2023/05/04/sabre-is-cutting-15-percent-of-its-workforce-roughly-1100-jobs/,1700,Post-IPO,United States,0.15,,SABR,NASDAQ,FALSE
Scribe Media,TRUE,Austin,Marketing,90,5/4/2023,https://www.bizjournals.com/austin/inno/stories/news/2023/05/30/scribe-media-shuts-down-and-lays-off-90-employees.html,,Unknown,United States,1,,,,
Autograph,TRUE,Los Angeles,Crypto,30,5/4/2023,https://www.businessinsider.com/tom-bradys-nft-startup-autograph-layoffs-crypto-2023-5?IR=T,205,Series B,United States,0.33,,,,
Earnix,FALSE,Tel Aviv,Finance,30,5/4/2023,https://www.calcalistech.com/ctechnews/article/hymylgzvh,100,Unknown,Israel,0.1,,,,
Karma,FALSE,Tel Aviv,Retail,20,5/4/2023,https://www.calcalistech.com/ctechnews/article/bj11xzuw43,34,Series A,Israel,0.28,,,,
Glassbox,FALSE,London,Data,,5/4/2023,https://www.calcalistech.com/ctechnews/article/s1zmauznn,70,Series C,United Kingdom,0.14,,,,
Unity,TRUE,SF Bay Area,Other,600,5/3/2023,https://www.wsj.com/articles/unity-conducts-its-third-and-largest-round-of-layoffs-in-a-year-48fdafe1,1300,Post-IPO,United States,0.08,,U,NYSE,FALSE
Upwork,TRUE,SF Bay Area,Other,137,5/3/2023,https://www.upwork.com/press/releases/a-message-from-our-ceo,168,Post-IPO,United States,0.15,,UPWK,NASDAQ,FALSE
Cars24,FALSE,Jakarta,Transportation,100,5/3/2023,https://inc42.com/buzz/cars24-shuts-shop-in-indonesia-saudi-arabia-to-focus-on-india-ops/?utm_source=ActiveCampaign&utm_medium=email&utm_content=Profit++Karo++On+Paytm+s+Mind%21+%7C+Two+Bengaluru+Unicorns+Cut+Jobs+%7C+Tim+Cook+s+%E2%9D%A4%EF%B8%8F+For+India&utm_campaign=Morning+Newsletter+-+New+Template+06+May&vgo_ee=vZ%2BZfbikRuPiTdEJPl5%2BEYyCJFrocn5no%2Bm25FjbMJUy9Zuq7w%3D%3D%3AAqF8bsXWMtjx1ZHWtxqmJxDrH43MqNRa,1300,Series G,Indonesia,,,,,
Brightcove,TRUE,Boston,Marketing,70,5/3/2023,https://www.bizjournals.com/boston/news/2023/05/03/brightcove-cuts-across-organization.html,145,Post-IPO,United States,0.1,,BCOV,NASDAQ,FALSE
Healthy.io,FALSE,Tel Aviv,Healthcare,70,5/3/2023,https://www.calcalistech.com/ctechnews/article/b11800cknh,185,Series D,United States,0.33,,,,
Zymergen,TRUE,SF Bay Area,Other,27,5/3/2023,https://www.biospace.com/article/biospace-layoff-tracker-2023-athenex-shutters-facility-cuts-staff/,974,Acquired,United States,,,,,
TheSkimm,TRUE,New York City,Media,22,5/3/2023,https://www.businessinsider.com/newsletter-publisher-theskimm-laid-off-13-percent-second-round-2023-2023-5,28,Series C,United States,0.13,,,,
Brightline,TRUE,SF Bay Area,Healthcare,,5/3/2023,https://www.beckershospitalreview.com/digital-health/digital-health-startup-brightline-lays-off-20-of-staff-again.html,212,Series C,United States,0.2,,,,
Bishop Fox,TRUE,Phoenix,Security,50,5/2/2023,https://techcrunch.com/2023/05/03/bishop-fox-lays-off-employees-days-after-throwing-conference-party/,146,Series B,United States,0.13,,,,
Zoomo,FALSE,Sydney,Transportation,27,5/2/2023,https://www.businessnewsaustralia.com/articles/sydney-e-bike-provider-zoomo-cuts-8-per-cent-of-its-workforce.html,105,Series B,Australia,0.08,,,,
Vallai,FALSE,Paris,Data,,5/2/2023,https://www.linkedin.com/feed/update/urn:li:activity:7059041318760501250/,,Seed,France,1,,,,
SAS,TRUE,Raleigh,Data,250,5/1/2023,https://wraltechwire.com/2023/05/01/sas-to-close-some-international-offices-making-selective-hires-in-prepping-for-stock-offering/,,Unknown,United States,,,,,
Lev,TRUE,New York City,Real Estate,34,5/1/2023,https://therealdeal.com/new-york/2023/05/01/cre-finance-platform-lev-lays-off-more-staff/,114,Series B,United States,,,,,
PharmEasy,FALSE,Mumbai,Healthcare,,5/1/2023,https://www.dealstreetasia.com/stories/pharmeasy-layoffs-341548,1600,Unknown,India,,,,,
Vah Vah!,FALSE,Bengaluru,Education,150,4/30/2023,https://inc42.com/features/how-former-zynga-india-head-silently-shut-his-startup-after-slashing-150-jobs/,2,Seed,India,,,,,
Cogito,FALSE,New Delhi,Data,177,4/29/2023,https://inc42.com/buzz/protests-erupt-data-startup-cogito-fires-177-indian-employees/,,Unknown,India,,,,,
Cue Health,TRUE,San Diego,Healthcare,326,4/28/2023,https://www.sec.gov/Archives/edgar/data/1628945/000162894523000085/hlth-20230428.htm,899,Post-IPO,United States,0.3,,HLTH,NASDAQ,FALSE
N26,FALSE,Berlin,Finance,71,4/28/2023,https://www.businessinsider.de/gruenderszene/fintech/folgen-der-krise-n26-entlaesst-mitarbeiter/,1700,Series E,United States,0.04,,,,
Embark Vet,TRUE,Boston,Healthcare,28,4/28/2023,https://docs.google.com/spreadsheets/d/12HLkzExDs4cXgF8FGl8M6D3Zilpr4iWMJHVGfGy4szk/edit#gid=113211201,94,Series B,United States,,,,,
Poparazzi,TRUE,Los Angeles,Consumer,,4/28/2023,https://techcrunch.com/2023/05/01/once-hot-photo-sharing-social-app-poparazzi-is-shutting-down/,15,Series A,United States,1,,,,
Providoor,FALSE,Melbourne,Food,,4/28/2023,https://www.afr.com/technology/celebrity-chef-s-tech-firm-providoor-collapses-20230428-p5d430,,Unknown,Australia,1,,,,
Dropbox,TRUE,SF Bay Area,Other,500,4/27/2023,https://blog.dropbox.com/topics/company/a-message-from-drew,1700,Post-IPO,United States,0.16,,DBX,NASDAQ,FALSE
Alteryx,TRUE,Los Angeles,Data,320,4/27/2023,https://siliconangle.com/2023/04/27/alteryx-delivers-mixed-earnings-results-plans-cut-11-staff/,613,Post-IPO,United States,0.11,,AYX,NYSE,TRUE
Vroom,TRUE,New York City,Transportation,120,4/27/2023,https://www.hrkatha.com/news/layoff/vroom-to-let-go-11-workforce/,1300,Post-IPO,United States,0.11,,VRM,NASDAQ,FALSE
Greenhouse,TRUE,New York City,Recruiting,100,4/27/2023,https://www.greenhouse.com/blog/navigating-market-uncertainty,110,Private Equity,United States,0.12,,,,
Rebellion Defense,TRUE,Washington D.C.,Data,90,4/27/2023,https://blog.rebelliondefense.com/a-difficult-decision-for-rebellion-5fe0fbc927e4,150,Series B,United States,,,,,
Poppulo,TRUE,Denver,HR,85,4/27/2023,https://www.rte.ie/news/business/2023/0427/1379567-poppulo-to-lay-off-21-staff-in-ireland-to-cut-costs/,30,Acquired,United States,,,,,
Megaport,FALSE,Brisbane,Infrastructure,50,4/27/2023,https://cdn-api.markitdigital.com/apiman-gateway/ASX/asx-research/1.0/file/2924-02659300-2A1446019?access_token=83ff96335c2d45a094df02a206a39ff4,98,Post-IPO,Australia,0.16,,MP1.XA,ASX,FALSE
Airtasker,FALSE,Sydney,Retail,45,4/27/2023,https://www.businessnewsaustralia.com/articles/airtasker-makes-20pc-of-employees-redundant.html,26,Series C,Australia,0.2,,,,
Chief,TRUE,New York City,Other,43,4/27/2023,https://techcrunch.com/2023/04/27/chief-a-professional-network-for-women-leaders-cuts-staff-amid-restructuring-effort/,140,Series B,United States,0.14,,,,
Tickertape,FALSE,Bengaluru,Finance,29,4/27/2023,https://entrackr.com/2023/04/smallcase-backed-tickertape-layoff-30-workforce/,5,Seed,India,0.29,,,,
Clubhouse,TRUE,SF Bay Area,Consumer,,4/27/2023,https://blog.clubhouse.com/april-27-2023/,110,Series C,United States,0.5,,,,
Oddle,FALSE,Singapore,Food,,4/27/2023,https://www.techinasia.com/fb-startup-oddle-cuts-25-staff-profitability-push,9,Series B,Singapore,0.25,,,,
Extramarks,FALSE,Noida,Education,300,4/26/2023,https://inc42.com/buzz/exclusive-reliance-backed-edtech-startup-extramarks-fires-over-300-employees-to-shut-b2c-biz/,,Unknown,India,,,,,
Teampay,TRUE,New York City,Finance,30,4/26/2023,https://www.axios.com/pro/fintech-deals/2023/04/26/corporate-card-teampay-layoffs-30-percent,79,Series B,United States,0.33,,,,
RenoRun,FALSE,Montreal,Construction,,4/26/2023,https://betakit.com/renorun-shuts-down-operations-as-it-pursues-sale-of-assets/,163,Series B,Canada,1,,,,
Skill Lync,FALSE,Chennai,Education,400,4/25/2023,https://inc42.com/buzz/exclusive-iron-pillar-backed-edtech-startup-skill-lync-fires-over-400-employees/,17,Series A,India,,,,,
Rapid,TRUE,SF Bay Area,Finance,115,4/25/2023,https://techcrunch.com/2023/04/25/rapidapi-valued-at-1-billion-last-year-cuts-staff-by-50/,272,Series D,United States,0.5,,,,
Rapid,TRUE,SF Bay Area,Finance,70,4/25/2023,https://techcrunch.com/2023/05/05/rapidapi-headcount-down-82-from-fresh-layoffs-less-than-two-weeks-after-cutting-50-of-staff/,272,Series D,United States,0.3,,,,
Flink,FALSE,Berlin,Food,8000,4/24/2023,https://www.manager-magazin.de/unternehmen/tech/flink-lieferdienst-hat-still-und-leise-8000-jobs-abgeschafft-a-caa29cb9-82b5-4d1e-83ca-a29efaccd25d,1000,Series B,Germany,0.4,,,,
Red Hat,TRUE,Raleigh,Other,760,4/24/2023,https://abc11.com/jobs-red-hat-careers-layoffs-raleigh-nc/13180340/,,Acquired,United States,0.04,,,,
BigPanda,TRUE,SF Bay Area,Infrastructure,40,4/24/2023,https://www.calcalistech.com/ctechnews/article/hjmakgn73,337,Series E,United States,0.13,,,,
Lyft,TRUE,SF Bay Area,Transportation,1072,4/21/2023,https://www.cnbc.com/2023/04/27/lyft-layoffs-company-to-cut-1072-employees-or-26percent-of-its-workforce.html,4900,Post-IPO,United States,0.26,,LYFT,NASDAQ,FALSE
Benchling,TRUE,SF Bay Area,Other,74,4/21/2023,https://www.reuters.com/technology/life-sciences-software-startup-benchling-lays-off-9-workforce-2023-04-21/,411,Series F,United States,0.09,,,,
Pluralsight,TRUE,Salt Lake City,Education,,4/21/2023,https://www.sltrib.com/news/2023/04/21/utah-tech-company-pluralsight-lays/,192,Acquired,United States,,,,,
BuzzFeed,TRUE,New York City,Media,180,4/20/2023,https://variety.com/2023/digital/news/buzzfeed-news-shutting-down-layoffs-1235589751/,696,Post-IPO,United States,0.15,,BZFD,NASDAQ,FALSE
Koo,FALSE,Bengaluru,Consumer,78,4/20/2023,https://economictimes.indiatimes.com/tech/startups/twitters-rival-koo-fires-30-staff-on-funding-crunch/articleshow/99632488.cms,50,Series B,India,0.3,,,,
Open,FALSE,Bengaluru,Finance,47,4/20/2023,https://entrackr.com/2023/04/exclusive-neobank-open-lays-off-around-50-employees/,190,Series D,India,,,,,
Gloat,TRUE,New York City,HR,35,4/20/2023,https://www.calcalistech.com/ctechnews/article/ry8dgb1x3,192,Series D,United States,0.12,,,,
Insider,TRUE,New York City,Media,,4/20/2023,https://www.thedailybeast.com/insider-to-lay-off-10-percent-of-staffers-company-says,,Unknown,United States,0.1,,,,
Iress,FALSE,Melbourne,Finance,,4/20/2023,https://www.moneymanagement.com.au/news/people-products/iress-announces-management-restructure-and-job-cuts,,Unknown,Australia,0.1,,,,
